locator|title|year|tmdb_id
A1|Battleship|2012|44833
A1|Man of Steel|2013|49521
A2|Iron Man 3|2013|68721
A2|Iron Man|2008|1726
A3|Transformers: Age of Extinction|2014|91314
A3|X-Men: Days of Future Past|2014|127585
A4|Fantastic Four|2015|166424
A4|World War Z|2013|72190
A5|Fantastic Four|2005|9738
A5|Transformers: Dark of the Moon|2011|38356
A5|Transformers: Revenge of the Fallen|2009|8373
A6|Green Lantern|2011|44912
A6|Ocean's Eleven|2001|161
A6|Ocean's Thirteen|2007|298
A6|Ocean's Twelve|2004|163
A7|The Amazing Spider-Man 2|2014|102382
A7|Thor: The Dark World|2013|76338
A8|Guardians of the Galaxy|2014|118340
A8|The Martian|2015|286217
A8|Thor|2011|10195
A8|TRON: Legacy|2010|20526
A9|Batman Begins|2005|272
A9|San Andreas|2015|254128
A10|Gravity|2013|49047
A10|The Dark Knight|2008|155
A11|Captain America: The Winter Soldier|2014|100402
A11|Oblivion|2013|75612
A12|Avengers: Age of Ultron|2015|99861
A12|Pacific Rim|2013|68726
A13|Edge of Tomorrow|2014|137113
A13|Man on Fire|2004|9509
A14|Pirates of the Caribbean: Dead Man's Chest|2006|58
A14|The Dark Knight Rises|2012|49026
A15|Pirates of the Caribbean: At World's End|2007|285
A15|Pirates of the Caribbean: On Stranger Tides|2011|1865
A16|Harry Potter and the Chamber of Secrets|2002|672
A16|Harry Potter and the Philosopher's Stone|2001|671
A17|Harry Potter and the Goblet of Fire|2005|674
A17|Harry Potter and the Order of the Phoenix|2007|675
A17|Harry Potter and the Prisoner of Azkaban|2004|673
A18|Harry Potter and the Deathly Hallows: Part 1|2010|12444
A18|Harry Potter and the Half-Blood Prince|2009|767
A19|Fracture|2007|6145
A19|Harry Potter and the Deathly Hallows: Part 2|2011|12445
A19|The Greatest Game Ever Played|2005|15487
A19|The Taking of Pelham 1 2 3|2009|18487
A20|Quantum of Solace|2008|10764
A20|Skyfall|2012|37724
A21|Heat|1995|949
A21|Ronin|1998|8195
A21|Transformers|2007|1858
A22|Looper|2012|59967
A22|The Hobbit: The Battle of the Five Armies|2014|122917
A22|The Matrix|1999|603
A23|Captain America: The First Avenger|2011|1771
A24|Star Trek Into Darkness|2013|54138
A24|The Wolverine|2013|76170
A25|Star Trek|2009|13475
A25|The Bourne Identity|2002|2501
A25|The Bourne Ultimatum|2007|2503
A26|2012|2009|14161
A26|Inception|2010|27205
A26|The Incredibles|2004|9806
A27|Iron Man 2|2010|10138
A27|Jurassic Park III|2001|331
A27|The Avengers|2012|24428
A28|Jurassic World|2015|135397
A28|The Lost World: Jurassic Park|1997|330
A28|The Man from U.N.C.L.E.|2015|203801
A28|X-Men Origins: Wolverine|2009|2080
A29|X-Men|2000|36657
A29|X2|2003|36658
A30|Spider-Man|2002|557
A30|The Amazing Spider-Man|2012|1930
A30|X-Men: The Last Stand|2006|36668
A31|Spider-Man 2|2004|558
A31|Spider-Man 3|2007|559
A32|Jupiter Ascending|2015|76757
A32|The Golden Compass|2007|2268
A33|Hugo|2011|44826
A33|I, Robot|2004|2048
A33|Wrath of the Titans|2012|57165
A34|National Treasure: Book of Secrets|2007|6637
A34|National Treasure|2004|2059
A35|I Am Legend|2007|6479
A36|Dawn of the Planet of the Apes|2014|119450
A36|The Bourne Supremacy|2004|2502
A36|The Matrix Revolutions|2003|605
A37|Star Wars - Episode I - The Phantom Menace|1999|1893
A37|The Matrix Reloaded|2003|604


C1|Elektra|2005|9947
C1|Ghost Rider|2007|1250
C1|Hardball|2001|20857
C1|Hereafter|2010|44603
C2|Enough|2002|1957
C2|Hearts in Atlantis|2001|11313
C2|Hidalgo|2004|2023
C2|King Kong|2005|254
C3|Gangs of New York|2002|3131
C3|Season of the Witch|2011|23047
C3|Twisted|2004|13572
C4|Blade|1998|36647
C4|Miami Vice|2006|82
C4|Noah|2014|86834
C5|Cloud Atlas|2012|83542
C5|Cosmopolis|2012|49014
C5|Firewall|2006|9754
C6|A.I. Artificial Intelligence|2001|644
C6|Priest|2011|38321
C6|State of Play|2009|16995
C7|Perfect Stranger|2007|7183
C7|Stardust|2007|2270
C7|The 5 Wave|2016|299687
C7|The Prince|2014|241254
C8|Ender's Game|2013|80274
C8|Frozen Ground|2013|199373
C8|Self/Less|2015|238615
C9|Beautiful Creatures|2013|109491
C9|Duplicity|2009|16558
C9|The Good Dinosaur|2015|105864
C10|Blade II|2002|36586
C10|The Sixth Sense|1999|745
C11|Casper|1995|8839
C11|Marmaduke|2010|38579
C11|Walking with Dinosaurs|2013|77951
C12|Lord of War|2005|1830
C12|The Pirates! Band of Misfits|2012|72197
C12|The Twilight Saga: New Moon|2009|18239
C13|Planet 51|2009|16866
C13|The Last Airbender|2010|10196
C13|The Patriot|2000|2024
C13|The Replacements|2000|10393
C14|61|2001|20536
C14|The Aviator|2004|2567
C14|War Horse|2011|57212
C15|Pearl Harbor|2001|676
C15|The Missing|2003|12146
C16|Apocalypto|2006|1579
C16|Sky Captain and the World of Tomorrow|2004|5137
C16|The Departed|2006|1422
C16|The Happening|2008|8645
C17|Chicago|2002|1574
C17|Lucky Number Slevin|2006|186
C17|The Shaggy Dog|2006|10067
C17|Two Weeks Notice|2002|2642
C18|The Fifth Element|1997|18
C18|The Green Hornet|2011|40805
C18|The Night Listener|2006|9782
